path,中文,英文,泰语,越南语,印尼语,法语,高棉语,,,,,,,,,,,,
record.exportedAddSuccess,导出加油记录任务添加成功，请在下载中心查看,The refueling record export task has been added successfully. Please check the download center.,เพิ่มงานส่งออกบันทึกการเติมเชื้อเพลิงสำเร็จแล้ว โปรดตรวจสอบที่ดาวน์โหลดเซ็นเตอร์,Nhiệm vụ xuất bản ghi chú nhiên liệu đã được thêm thành công. Vui lòng kiểm tra Trung tâm tải xuống.,"Penambahan tugas ekspor catatan pengisian bahan bakar berhasil, periksa di Pusat Unduhan",La tâche d'exportation des enregistrements de ravitaillement a été ajoutée avec succès. Veuillez consulter le centre de téléchargement.,បន្ថែមការបញ្ចេញការបោះពុម្ពការប៉ារ៉ាស៊ីហ្វូតបានជោគជ័យ សូមមើលក្រវិលទានតាមរយៈកន្លែងទាញយក,,,,,,,,,,,,
record.tankType,油箱类型,Tank Type,ประเภทถังน้ำมัน,Loại bình chứa,Jenis Tangki,Type de réservoir,ប្រភេទធុងប្រដាប់ប្រព័ន្ធប្រើប្រាស់,,,,,,,,,,,,
record.mainTank,主油箱,Main Tank,ถังหลัก,Bình chứa chính,Tangki Utama,Réservoir principal,ធុងប្រដាប់ប្រព័ន្ធមេ,,,,,,,,,,,,
record.subTank,副油箱,Sub Tank,ถังรอง,Bình chứa phụ,Tangki Cadangan,Réservoir secondaire,ធុងប្រដាប់ប្រព័ន្ធនាង,,,,,,,,,,,,
record.refuelingQuantity,加油量（%）,Refueling Quantity (%),ปริมาณการเติมเชื้อเพลิง (%),Lượng nhiên liệu đã đổ (%),Jumlah Pengisian (%),Quantité de ravitaillement (%),បរិមាណការបោះបង់ពន្លឺក្រុមប្រចាំបាច់（%）,,,,,,,,,,,,
record.estimatedFuelQuantity,估计加油量,Estimated Fuel Quantity,ปริมาณการเติมเชื้อเพลิงโดยประมาณ,Lượng nhiên liệu ước tính,Perkiraan Jumlah Pengisian,Quantité de carburant estimée,បរិមាណពន្លឺក្រុមប្រចាំបាច់ប៉ារ៉ាស៊ីហ្វូត,,,,,,,,,,,,
record.estimatedTips,此数值为估算结果，数值是否准确依赖油箱标定结果,This value is an estimation. The accuracy depends on the tank calibration results.,ค่านี้เป็นการประมาณ ความแม่นยำขึ้นอยู่กับผลลัพธ์การแปรและสอบเทียบของถัง,Giá trị này là ước tính. Độ chính xác phụ thuộc vào kết quả hiệu chuẩn bình chứa.,"Angka ini adalah hasil perkiraan, akurasi tergantung hasil kalibrasi tangki","Cette valeur est une estimation, la précision dépend des résultats de calibrage du réservoir",តម្លៃនេះគឺជាលទ្ធផលក្នុងការបែងគន្លឹះ តម្លៃដើមត្រូវបានគណនាតាមលទ្ធផលដែលបានចុះបញ្ជីធ្វើការប៉ារ៉ាស៊ីហ្វូត,,,,,,,,,,,,
record.address,地址,Address,ที่อยู่,Địa chỉ,Alamat,Adresse,អាសយដ្ឋាន,,,,,,,,,,,,
record.fuelingLogList,加油记录列表,Refueling Log List,รายการบันทึกการเติมเชื้อเพลิง,Danh sách ghi chú nhiên liệu,Daftar Catatan Pengisian,Liste des enregistrements de ravitaillement,បញ្ជីកំណត់ពន្លឺក្រុមប្រចាំបាច់,,,,,,,,,,,,
charts.liquidLevelTrend,液位趋势图,Liquid Level Trend,แนวโน้มระดับของของเหลว,Xu hướng mức nước,Tren Tingkat Cairan,Tendance du niveau de liquide,តម្រុយកម្រិតល្បាយច្រើនបំផុត,,,,,,,,,,,,
charts.events,期间事件,Events,เหตุการณ์,Sự kiện,Peristiwa,Événements pendant la période,ព្រឹត្តិការណ៍ក្នុងរយៈពេលមួយ,,,,,,,,,,,,
charts.eventName,事件类型,Event Type,ประเภทเหตุการณ์,Loại sự kiện,Jenis Peristiwa,Type d'événement,ប្រភេទព្រឹត្តិការណ៍,,,,,,,,,,,,
charts.liquidLevelChange,液位变化,Liquid Level Change,การเปลี่ยนแปลงระดับของของเหลว,Thay đổi mức nước,Perubahan Tingkat Cairan,Changement de niveau de liquide,ការផ្លាស់ប្តូរកម្រិតល្បាយ,,,,,,,,,,,,
charts.estimatedFuelQuantity,预计油量,Estimated Fuel Quantity,ปริมาณเชื้อเพลิงโดยประมาณ,Lượng nhiên liệu ước tính,Perkiraan Jumlah Bahan Bakar,Carburant estimé,បរិមាណពន្លឺក្រុមប្រចាំបាច់ប៉ារ៉ាស៊ីហ្វូត,,,,,,,,,,,,
charts.address,位置,Location,ตำแหน่ง,Vị trí,Lokasi,Emplacement,ទីតាំង,,,,,,,,,,,,
charts.fuel,油量,Fuel,เชื้อเพลิง,Nhiên liệu,Bahan Bakar,Carburant,ពន្លឺក្រុមប្រចាំបាច់,,,,,,,,,,,,
charts.time,时间,Time,เวลา,Thời gian,Waktu,Heure,ពេលវេលា,,,,,,,,,,,,
charts.truckWithoutFuelSense,该车辆没有油感设备,This vehicle does not have a fuel sensor,รถบรรทุกนี้ไม่มีเซ็นเซอร์วัดน้ำมัน,Xe này không có cảm biến nhiên liệu,Kendaraan ini tidak memiliki sensor bahan bakar,Ce camion n'est pas équipé d'un capteur de carburant,រទេះនេះមិនមានឧបករពន្លឺក្រុមប្រចាំបាច់,,,,,,,,,,,,
